DEPT,NPHI,SP,DT,GR,CALI,RHOB,Deep_RS,RS,source
1340.0,34.9419,-29.5822,102.7173,94.6335,10.6715,2.4242,12.7986,12.2827,las_2_df
1340.5,34.4949,-29.9919,101.6117,93.6923,10.5265,2.4062,12.8782,12.3051,las_2_df
1341.0,34.0807,-30.3529,101.3595,92.3024,10.7308,2.398,12.9579,12.3131,las_2_df
1341.5,34.4061,-30.5525,101.5704,91.6886,10.7681,2.3993,12.9074,12.3023,las_2_df
1342.0,34.4092,-30.6974,102.2605,91.3678,10.5812,2.4064,12.8059,12.2675,las_2_df
1342.5,34.3236,-30.4537,103.0249,90.6505,10.5331,2.4084,12.7045,12.2668,las_2_df
1343.0,34.082,-30.0703,103.2564,90.5924,10.5486,2.4192,12.603,12.2835,las_2_df
1343.5,34.0344,-29.8448,102.9782,90.7953,10.638,2.4155,12.5535,12.2509,las_2_df
1344.0,34.0604,-29.7309,102.2854,90.6424,10.4859,2.4102,12.5103,12.1425,las_2_df
1344.5,33.9811,-29.7702,101.3772,90.3848,10.48,2.4095,12.4672,12.0691,las_2_df
1345.0,33.7897,-29.9051,100.6466,90.0185,10.4647,2.4082,12.4189,12.0259,las_2_df
1345.5,33.7475,-30.2534,100.6461,89.6602,10.3899,2.4047,12.3528,11.8161,las_2_df
1346.0,33.7625,-30.7172,101.7622,89.2872,10.2204,2.3972,12.2867,11.722,las_2_df
1346.5,34.2958,-31.0195,103.3702,88.8501,10.2179,2.3833,12.2205,11.6781,las_2_df
1347.0,35.504,-31.1712,104.8126,88.3647,10.2438,2.3617,12.1544,11.6695,las_2_df
1347.5,37.0444,-31.1404,105.9739,88.5079,10.2732,2.3461,12.1665,11.7595,las_2_df
1348.0,37.9662,-31.1149,107.1027,89.1119,10.2456,2.3377,12.2792,11.8804,las_2_df
1348.5,37.821,-30.7927,106.7465,90.28,10.2354,2.3443,12.3919,12.072,las_2_df
1349.0,37.0574,-30.5037,106.2423,90.5754,10.2431,2.3723,12.5046,12.2725,las_2_df
1349.5,35.7883,-30.4,104.6061,90.0142,10.2508,2.3915,12.7249,12.3632,las_2_df
1350.0,35.2453,-30.4618,102.0676,89.8434,10.2565,2.398,12.9535,12.4539,las_2_df
1350.5,35.1717,-30.5462,100.9199,89.7374,10.2601,2.4045,13.1965,12.5447,las_2_df
1351.0,36.1192,-30.6507,100.7271,90.0666,10.3602,2.41,13.442,12.6354,las_2_df
1351.5,36.6385,-30.8612,100.9263,92.2895,10.4819,2.414,13.3632,12.7261,las_2_df
1352.0,36.5423,-31.1146,101.4749,94.6988,10.5365,2.4104,13.085,12.6148,las_2_df
1352.5,36.0164,-30.8744,101.7742,95.8386,10.5743,2.407,12.8055,12.5012,las_2_df
1353.0,34.8969,-30.7761,101.8105,95.6828,10.5966,2.414,12.5158,12.3645,las_2_df
1353.5,33.7114,-30.7316,101.8044,95.2207,10.8717,2.416,12.2262,12.0438,las_2_df
1354.0,33.8857,-30.7601,101.7832,94.8474,10.6151,2.4068,11.9365,11.7546,las_2_df
1354.5,35.6039,-30.791,101.9709,94.7943,10.4262,2.3965,11.6468,11.523,las_2_df
1355.0,35.8826,-30.6865,103.2072,94.7293,10.4288,2.3906,11.3572,11.2913,las_2_df
1355.5,36.3174,-30.386,104.7817,94.6882,10.3791,2.3868,11.0675,11.0597,las_2_df
1356.0,36.5732,-30.1489,106.3971,93.4692,10.3394,2.4002,10.7778,10.828,las_2_df
1356.5,36.5578,-30.0172,107.3241,92.25,10.2788,2.3897,10.5027,10.5964,las_2_df
1357.0,36.0078,-30.127,106.9809,93.2414,10.2322,2.3769,10.4121,10.3647,las_2_df
1357.5,37.2817,-30.3654,106.5586,94.6025,10.3431,2.3702,10.3215,10.1331,las_2_df
1358.0,38.0798,-30.4842,106.9236,94.9225,10.4247,2.3736,10.2309,10.0112,las_2_df
1358.5,38.4758,-30.5042,108.2898,95.4634,10.4861,2.3756,10.1403,9.8909,las_2_df
1359.0,38.2071,-30.3943,110.0059,96.1544,10.5044,2.3711,10.0497,9.7705,las_2_df
1359.5,37.6163,-30.3372,110.7887,95.8616,10.531,2.3663,9.9591,9.729,las_2_df
1360.0,37.3899,-30.391,111.1829,95.3578,10.4751,2.3644,9.8685,9.7173,las_2_df
1360.5,37.461,-30.4471,111.1241,94.8894,10.4425,2.362,9.7779,9.7057,las_2_df
1361.0,38.9725,-30.4614,111.289,94.4268,10.4711,2.3632,9.6873,9.694,las_2_df
1361.5,39.4322,-30.4295,111.4644,94.2374,10.4369,2.3659,9.5967,9.6823,las_2_df
1362.0,39.7916,-30.359,111.7085,95.7565,10.4027,2.3708,9.5061,9.6588,las_2_df
1362.5,40.3424,-30.278,112.0975,96.4973,10.3833,2.3753,9.4225,9.6327,las_2_df
1363.0,41.0881,-30.2257,112.4978,95.9972,10.4178,2.3803,9.3508,9.6065,las_2_df
1363.5,41.5248,-30.218,112.7417,94.7392,10.4512,2.379,9.2791,9.5803,las_2_df
1364.0,41.3459,-30.1407,112.9238,93.4647,10.5304,2.3753,9.2074,9.4745,las_2_df
1364.5,41.2518,-30.0986,113.1369,93.5357,10.48,2.3708,9.1357,9.3077,las_2_df
1365.0,41.9552,-30.1547,113.0255,95.0337,10.4659,2.3654,9.0016,9.1659,las_2_df
1365.5,42.6625,-30.1433,112.9559,96.0716,10.4401,2.3567,8.8812,9.06,las_2_df
1366.0,43.3404,-30.1208,113.4852,97.623,10.4438,2.3603,8.79,8.9542,las_2_df
1366.5,43.9515,-30.1937,114.5397,100.6407,10.445,2.3687,8.8291,8.9438,las_2_df
1367.0,44.1653,-30.4595,115.6352,103.0464,10.4072,2.3754,8.9495,8.9463,las_2_df
1367.5,42.8511,-30.8639,116.9834,103.6893,10.3917,2.3786,9.0435,9.1148,las_2_df
1368.0,40.4427,-31.3993,118.3526,103.0486,10.3961,2.3829,9.209,9.3941,las_2_df
1368.5,39.5657,-31.9157,118.0165,100.7897,10.4854,2.3789,9.6278,9.6897,las_2_df
1369.0,39.0171,-32.2122,117.0537,98.5685,10.6097,2.3673,9.9896,10.1947,las_2_df
1369.5,38.4675,-32.3052,115.4882,96.3836,10.5449,2.3579,10.2412,10.539,las_2_df
1370.0,37.5115,-32.1311,113.8838,94.741,10.4937,2.3615,10.4927,10.748,las_2_df
1370.5,37.1589,-31.8723,112.9268,95.6886,10.4649,2.3797,10.7443,10.9363,las_2_df
1371.0,37.0104,-31.594,112.5429,96.7207,10.3386,2.3908,10.9958,11.0305,las_2_df
1371.5,36.2471,-31.2942,111.9579,97.7364,10.3504,2.3942,11.188,11.0019,las_2_df
1372.0,35.1105,-31.0792,110.4502,97.8127,10.6003,2.3786,11.1627,10.9289,las_2_df
1372.5,35.1939,-30.9752,108.2219,97.4287,10.8577,2.3726,11.1374,10.8251,las_2_df
1373.0,37.204,-30.7487,106.7025,96.9218,10.7909,2.3753,11.1122,10.6911,las_2_df
1373.5,37.4817,-30.665,106.6592,96.1143,10.5502,2.3909,11.0869,10.6153,las_2_df
1374.0,37.3749,-30.5979,107.4037,95.0306,10.5667,2.4022,11.0617,10.5962,las_2_df
1374.5,37.3034,-30.5427,107.812,94.5876,10.5414,2.3999,11.0364,10.7355,las_2_df
1375.0,37.3523,-30.4686,107.8883,94.1842,10.7128,2.3917,11.0112,10.932,las_2_df
1375.5,37.3421,-30.4113,107.591,93.466,10.7076,2.3949,10.9859,11.014,las_2_df
1376.0,37.0186,-30.4437,107.4219,93.4022,10.5941,2.4039,10.9606,10.8521,las_2_df
1376.5,36.4932,-30.5929,107.1959,93.7345,10.5656,2.4092,10.9354,10.7445,las_2_df
1377.0,36.4941,-30.6575,106.4671,95.0039,10.5777,2.4033,10.8859,10.68,las_2_df
1377.5,36.9204,-30.7074,105.3433,96.98,10.7269,2.3999,10.8217,10.5925,las_2_df
1378.0,37.4644,-30.8159,104.489,97.8872,10.8988,2.4023,10.7576,10.502,las_2_df
1378.5,38.2455,-30.8376,104.9531,97.4491,10.8487,2.4031,10.6935,10.4108,las_2_df
